sentence,relation,head,head_offset,tail,tail_offset
小霞跟黑连和可尔妮组成队伍，他们跟阿渡、大吾、竹兰的队伍进行对战。,伙伴,大吾,20,竹兰,23
赤红没有在正式游戏中登场，但在一个宣传影片中，赤红与叶子进行双打对战，使用吼鲸王和代欧奇希斯（攻击形态），但不敌。,拥有,赤红,23,吼鲸王,37
如果选择琴音为主角，在一开始妈妈会提到阿响刚才还来玩了，出门便能与他和他的玛力露相遇。,伙伴,琴音,4,阿响,19
希巴挑战小智，并与其势均力敌，击败了小智的蚊香泳士同时令皮卡丘和暴鲤龙负伤。其后，希巴的同伴菊子和科拿现身，并自称他们为关都四天王和说出他们的目的是要把人类消灭，而只留下宝可梦和优秀的精英训练员，之后更邀请小智加入他们，但小智拒绝了而被科拿冰封了起来。 之后命令飞腿郎攻击正辉家里的宝可梦寄放系统（后期证实是被菊子操控了心智），并与小蓝的小龟对峙。 旗下的腕力军团被指派到深灰市偷取深灰道馆馆主小刚所持有的徽章。 在苏芳岛决战中在野生大岩蛇上迎战马志士和正辉（原本应是小智）的组合，并一度占尽上风。在小智现身后，进一步解放怪力的力量与小智对决，落败后转身离开，途中救了差点掉进毒潭的阿桔，之后退出了关,伙伴,希巴,41,科拿,49
在雷公 雷的传说的片头中，小银用尼多王打败刚出道的健太和他的火球鼠。后来，健太和火球鼠不断特训，不断向他挑战。最终，火球鼠进化成了火暴兽，成功击败了尼多王。,拥有,健太,25,火球鼠,30
青绿跟赤红在帕希欧竞技场观众席观看小结、艾莉丝和阿驯的队伍对战风露、大叶和阿塞萝拉的队伍。,伙伴,小结,17,艾莉丝,20
娜姿在坂木中与赤红进行了道馆战，被击败后送出了金色徽章。,挑战,赤红,7,娜姿,0
在愤怒之湖中，阿响和阿渡潜入火箭队基地，探究导致红色暴鲤龙出现的奇怪电波。他和阿渡通过宝可齿轮来联络。,位于,阿响,7,愤怒之湖,1
青绿的剧情与《金／银／水晶版》大致相同。不同的是，获得关都地区的其他7个徽章后，青绿才会回到道馆中。在道馆中战胜他可以获得绿色徽章和招式学习器９２（戏法空间）。额外的，从奈奈美处获得青绿的宝可齿轮号码后，在星期日晚上给他打电话就可以约他在格斗道场中再战。打败赤红后，星期五可以在红莲镇与青绿合影。,位于,青绿,143,红莲镇,139
在VS猫头夜鹰中，阿速先是在观众席上去观看了小茜和小霞的比赛，紧接着就轮到他上场了，阿速派出了猫头夜鹰迎战阿杏的臭臭泥。对战中，阿杏的臭臭泥缩小这一点让阿速很是惊讶，接着阿速由臭臭泥使出的臭泥炸弹判断出阿杏的专长是毒属性。阿速深知如果再被臭臭泥击中，就会输掉比赛，但是他又找不到缩小的臭臭泥的位置，于是阿速决定让猫头夜鹰使用识破找到了臭臭泥，见情形不妙的阿杏收回了臭臭泥，换上了阿利多斯，阿速命令猫头夜鹰抓起了阿利多斯展开空中决斗，但阿利多斯脱离了猫头夜鹰回到地面，还在猫头夜鹰面前织网，趁着阿速分析阿利多斯行为并且阿杏在解释阿利多斯的蛛丝时，阿利多斯再次发动攻击用锐利的攻击丝击败了猫头夜鹰。阿速派,拥有,阿速,151,猫头夜鹰,156
当主角初次进入对战树的时候，会遇见和青绿在一起的赤红，主角需要在赤红和青绿之间选择一位进行对战。,伙伴,青绿,18,赤红,24
赤红就此展开旅程，不断挑战道馆馆主获得徽章。在旅程中，赤红还会遇到以盗取他人宝可梦为目的的邪恶组织火箭队。在月见山，赤红会遇到以偷取化石为目的火箭队手下。打败他们后来到华蓝市，可以从警察那里得知出现了小偷把居民的家打了一个大洞，赤红调查后发现这也是火箭队做下的勾当。途径海角小屋的赤红会遇到不小心把自己变成宝可梦的正辉，在帮他恢复原样后，正辉会赠送赤红船票表示感谢。接到船票的赤红可以从枯叶港登上圣特安努号。,敌对,赤红,114,火箭队,124
富士老人得知火箭队在宝可梦塔杀害了嘎啦嘎啦后，他冲进宝可梦塔怒斥他们伤害宝可梦的行为，却被火箭队挟持为人质。后来主角赶走了这些入侵者，富士老人才得救。为了感谢主角，他送出了宝可梦之笛。嘎啦嘎啦的孩子卡拉卡拉也被他收留了。,拥有,富士老人,67,卡拉卡拉,99
在VS火暴猴中，小刚在夏伯的协助下进入月见山深处寻找小智的线索。,位于,小智,26,月见山,19
在大奶罐，复仇之战中，小智等人一整天都帮忙照顾牧场的大奶罐。在打败来牧场行窃的火箭队的桶状的机器人之后，小智灵光一闪想到了打败小茜的大奶罐的对策，于是再次向小茜提出对战请求，他先后使用小锯鳄和火球鼠降低大奶罐的速度，最终用皮卡丘成功击败了大奶罐。虽然这场对战是在道馆外进行的，但小茜依然承认了自己的败北，赠与小智标准徽章。,拥有,小智,52,小锯鳄,92
阿桔曾是火箭队三干部之一，曾是浅红市道馆馆主。 阿桔曾经前往双子岛捕捉急冻鸟，并在几番波折之后成功。 苏芳岛决战之后被希巴所救。 和小茂有很深的羁绊。 假面男被打败之后，阿桔和曾经都是邪恶组织成员的希巴、一树以及梨花结为同盟。后来他们以城都新四天王的身份在心金·魂银篇登场。,伙伴,阿桔,24,小茂,66
在消失的宝可梦之谜，君莎告诉小智一行人金柑岛内的宝可梦行为变得异常，会攻击自己的主人。但自己的鬼斯没有任何变化，她怀疑是超能力属性宝可梦在作乱。在四人一起发现了在道路上的火箭队后，火箭队原不肯和君莎合作，但为了让自己的宝可梦恢复原状，他们告诉君莎这是亚马多和小三郎的阴谋。火箭队把君莎和小智等人混入装有精灵球的推车内进入电波发射塔来破坏他们的恶行，君莎派出了鬼斯抵挡对方的攻击，在催眠装置破坏之后，鬼斯又与催眠貘进行了战斗，但由于在对战中催眠貘和波克比一起使用了挥指引发了自爆，最终亚马多和小三郎被君莎抓捕归案。,拥有,君莎,174,鬼斯,179
除此之外，还有以夏伯为主题的套牌。日文版有红莲镇道馆 夏伯。英文版有道馆挑战中的夏伯主题套牌。,位于,夏伯,27,红莲镇,21
在VS灯笼鱼中，小刚和莉佳以及小霞因为接到宝可梦协会的紧急召集穿过都城瀑布前往城都地区，小刚对都城瀑布的雄伟壮观发出赞叹。而他们经过一座吊桥时，小刚发现桥有些断裂，因为从地图上看没有可以绕路的选择，他只好派出大岩蛇来帮忙填充吊桥断裂的部分，小刚在中途提议改乘阿哥号，而离家表示最近阴晴不定阿哥号很可能赶不上。小刚奉劝小霞不要分心并伸出手拉小霞一把，可这是冲出了许许多多的大嘴蝠和超音蝠导致小霞不慎从桥上掉了下去后被冲入瀑布内失去了知觉。小刚和莉佳也是勉强抓住大岩蛇才没有掉下去。之后，小刚和小霞隔着瀑布呼喊小霞的名字，但没有等到回应，这时小刚也受到了来自宝可梦协会的消息，将会举办关都和城都的道馆馆主,伙伴,小刚,218,莉佳,221
小茜在满金道馆，力量与速度中首次登场，她在小智的皮卡丘和她的皮皮相撞后，跑到了皮卡丘身边，亲吻了皮卡丘的额头，让皮卡丘很是开心。 随后，她带着小智一行人穿过满金地道，来到了满金百货商场。 然而，他们却跌跌撞撞地走了很多不想去的地方。 最后，他们来到一家餐厅，吃了汉堡。之后，他们遇到了火箭队，火箭队抢走了她的皮皮，坐上了磁浮列车，但被他们成功拦住了，火箭队随即空手而去，空手而归。在得知小茜就是满金道馆馆主后，小智向她提出道馆挑战的请求，尽管今天是她的休息日，但她还是答应了挑战，并专门为他开放了道馆。在比赛中，小智成功用他的火球鼠打败了她派出的第一只宝可梦尼多丽娜。接着她派出皮皮，却因挥指使出了毫,拥有,小茜,193,尼多丽娜,279
在紫苑镇宝可梦塔保护了富士老人后，赤红来到火箭游戏城，捣毁了地下的火箭队基地。之后来到金黄市，发现火箭队遍布整个城市，赤红闯进西尔佛公司成功救下董事长并打败了火箭队老大坂木。原来常青道馆的道馆馆主就是坂木，在道馆中他再次输给了赤红，之后消失了。集齐8枚徽章的赤红来到了石英高原，打败了四天王后得知已经有人先赢一步了，那就是青绿。在赤红打败身为冠军的青绿后，大木博士会带领赤红登入名人堂。,敌对,赤红,113,坂木,100
大木博士曾经就读于玉虹大学理工科，毕业后继续在该大学读生物学硕士，现在是该大学携带兽学教授。大木博士以前是一位出色的训练家，四天王之一菊子和他曾经好友。但后来，他隐退了，开始研究起了宝可梦，菊子认为他变软弱了，因此疏远了他。钢铁家的照片显示他、大木博士、菊子都是好友。,伙伴,大木博士,46,菊子,67
自此阿响开始了他在城都地区的旅程，对抗道馆馆主收集徽章。在烧焦塔，他有幸目睹了凤王卫队的复活。后来他又前去湛蓝市秘传药店取来秘传之药，治好光辉灯塔的电龙光儿。在愤怒之湖，他遇见了奇怪的红色暴鲤龙，之后便与神秘训练家阿渡一起调查卡吉镇的火箭队基地。后来他又击溃了占领满金电台的火箭队残党，粉碎了他们企图复活的阴谋。集齐8枚徽章后，阿响来到了石英高原挑战宝可梦联盟。,伙伴,阿渡,107,阿响,2
在VS赫拉克罗斯中，阿笔和他的同伴们继续在调查遗迹，并且他们开始设法捕捉各种各样的未知图腾。而这时，遗迹回廊上窜过一道白光，阿笔骑上自己的赫拉克罗斯前去查看，却发现了用未知图腾拼写的“离洞”的图案，立刻想到了离洞绳。他使用离洞绳离开遗迹后立刻遇到了水君。他猜测出水君和之前在遗迹攻击他的火箭队没关系，并认为水君是在测试他的能力，他立刻派出赫拉克罗斯应战，赫拉克罗斯被撞到了天顶上，但乘空档，阿笔让铁壳蛹和盾甲蛹配合自己的捕虫网成功将水君网住，眼看就要捕获，水君使用极光束破网而逃。而阿笔此时发现在和水君对战时，一面藏在墙后的房间也被发现了，里面写着用未知图腾拼写的“凤王”的图案，第二天，阿笔立刻在阿,拥有,阿笔,195,盾甲蛹,202
了在这之前出现帮助过他们的刺球仙人掌。后来，小次郎又在茵郁市的羽翼嘉年华会！的庙会时提到自己小时候很想要风铃铃，而在那集的庙会里他真的遇到了一只风铃铃，后来这只风铃铃也成为了他的同伴。这两只宝可梦都和小次郎非常亲近，刺球仙人掌甚至经常在放出来时抱住小次郎把小次郎弄得很疼。,友好,刺球仙人掌,108,风铃铃,80
武藏在跟着小智一行人到丰缘时得知那里有华丽大赛，从那时候她开始成为宝可梦协调训练家，并获得了丰缘华丽大赛参赛证。在丰缘地区的华丽大赛中，武藏有些时候会作弊，只要输掉比赛，她就会脱掉伪装并大闹华丽大赛会场。她以武藏碧安（日文︰ムサぴょん，英文︰Jessebella）的身份来参加华丽大赛，而在小遥对抗武藏！最后的华丽大赛!!小次郎和喵喵与小智一行人对话中这个伪装已经被小智一行人识破了。在哈利与火箭队！反派角色同盟成立!?中武藏和哈利合作准备打败小遥，但是最终因为武藏和哈利借给她的宝可梦配合不佳落败。在火箭队解散!?各自的道路！，火箭队三人组因为抓不到皮卡丘而发生分歧，打算分道扬镳，这时武藏遇到了对,敌对,哈利,214,小遥,222
在谢谢你索尔迦雷欧！我们的小星云!!中，她参加了库库伊博士和芭内特博士的婚礼。,亲戚,库库伊博士,24,芭内特博士,30
有几位乔伊小姐样貌与其他的十分不同。宝可梦道馆的决斗中，一位乔伊小姐担任宝可梦监察官的职务，被派来检测道馆馆主的实力。另一位居住在橘子群岛的乔伊小姐则将自己的职业变为考古学家，并在化石盔的化石秘密中带领了一次富拉四号岛上的探险。在航海的乔伊，破浪前进吧中，出现了一位同样居住在橘子群岛的肌肉发达、乘坐皮划艇的乔伊小姐和她的巨大鲤鱼王。其他居住在岛上的乔伊小姐与她们在大陆上的同事们相比，有着更加暗色的皮肤，由于她们居住在更偏热带的地区。,出没,化石盔,90,富拉四号岛,104
当空木博士拜托他去住在吉花市北边的宝可梦爷爷那里跑一趟时，阿响的旅程开始了。考虑到他可能会在路上遇到危险的野生宝可梦，空木博士还送给了他一只最初的伙伴来防身。临走时，阿响看到一个和他同岁的奇怪男孩正在空木博士研究所外偷窥。当他想要跟他说话时，男孩粗鲁地推开了他。在宝可梦爷爷的家里他还遇到了大木博士。大木博士看出阿响与宝可梦之间的牵绊，交给了他宝可梦图鉴。在回家的路上，阿响遇到了偷走空木博士的宝可梦的小银。在战斗中击败他后，阿响得知了他的名字并告诉若叶镇的警察。空木博士鼓励他去挑战石英高原。,来自,宝可梦爷爷,17,吉花市,11
青绿跟赤红在帕希欧竞技场观众席观看小结、艾莉丝和阿驯的队伍对战风露、大叶和阿塞萝拉的队伍。,伙伴,大叶,34,阿塞萝拉,37
正辉在２５号道路的海角小屋中进行宝可梦电子传输实验，却不小心将自己和尼多力诺合体了。主角操纵电脑帮助正辉恢复原状后，他会向主角提起宝可梦寄放系统，之后电脑菜单中“某人的电脑”就会变成“正辉的电脑”。他还会送给主角船票，这样主角就能登上圣特安努号了，他表示他不喜欢船上的富豪们。之后调查正辉的电脑能看到他最爱的宝可梦：伊布和它的三种进化形。,拥有,正辉,0,尼多力诺,34
赤红跟青绿在帕希欧竞技场观众席观看小结、艾莉丝和阿驯的队伍对战风露、大叶和阿塞萝拉的队伍。,伙伴,小结,17,艾莉丝,20
在VS猫头夜鹰中，阿速先是在观众席上去观看了小茜和小霞的比赛，紧接着就轮到他上场了，阿速派出了猫头夜鹰迎战阿杏的臭臭泥。对战中，阿杏的臭臭泥缩小这一点让阿速很是惊讶，接着阿速由臭臭泥使出的臭泥炸弹判断出阿杏的专长是毒属性。阿速深知如果再被臭臭泥击中，就会输掉比赛，但是他又找不到缩小的臭臭泥的位置，于是阿速决定让猫头夜鹰使用识破找到了臭臭泥，见情形不妙的阿杏收回了臭臭泥，换上了阿利多斯，阿速命令猫头夜鹰抓起了阿利多斯展开空中决斗，但阿利多斯脱离了猫头夜鹰回到地面，还在猫头夜鹰面前织网，趁着阿速分析阿利多斯行为并且阿杏在解释阿利多斯的蛛丝时，阿利多斯再次发动攻击用锐利的攻击丝击败了猫头夜鹰。阿速派,拥有,阿杏,53,臭臭泥,56
在VS猫头夜鹰中，阿速先是在观众席上去观看了小茜和小霞的比赛，紧接着就轮到他上场了，阿速派出了猫头夜鹰迎战阿杏的臭臭泥。对战中，阿杏的臭臭泥缩小这一点让阿速很是惊讶，接着阿速由臭臭泥使出的臭泥炸弹判断出阿杏的专长是毒属性。阿速深知如果再被臭臭泥击中，就会输掉比赛，但是他又找不到缩小的臭臭泥的位置，于是阿速决定让猫头夜鹰使用识破找到了臭臭泥，见情形不妙的阿杏收回了臭臭泥，换上了阿利多斯，阿速命令猫头夜鹰抓起了阿利多斯展开空中决斗，但阿利多斯脱离了猫头夜鹰回到地面，还在猫头夜鹰面前织网，趁着阿速分析阿利多斯行为并且阿杏在解释阿利多斯的蛛丝时，阿利多斯再次发动攻击用锐利的攻击丝击败了猫头夜鹰。阿速派,拥有,阿杏,177,臭臭泥,182
《Ｘ／Ｙ》中的这位妈妈是卡鲁穆或是莎莉娜的母亲，名叫萨琪（日文︰サキ，英文︰Grace）。,亲戚,萨琪,26,卡鲁穆,12
在VS赫拉克罗斯中，阿笔和他的同伴们继续在调查遗迹，并且他们开始设法捕捉各种各样的未知图腾。而这时，遗迹回廊上窜过一道白光，阿笔骑上自己的赫拉克罗斯前去查看，却发现了用未知图腾拼写的“离洞”的图案，立刻想到了离洞绳。他使用离洞绳离开遗迹后立刻遇到了水君。他猜测出水君和之前在遗迹攻击他的火箭队没关系，并认为水君是在测试他的能力，他立刻派出赫拉克罗斯应战，赫拉克罗斯被撞到了天顶上，但乘空档，阿笔让铁壳蛹和盾甲蛹配合自己的捕虫网成功将水君网住，眼看就要捕获，水君使用极光束破网而逃。而阿笔此时发现在和水君对战时，一面藏在墙后的房间也被发现了，里面写着用未知图腾拼写的“凤王”的图案，第二天，阿笔立刻在阿,拥有,阿笔,62,赫拉克罗斯,69
在谜拟Ｑ的画皮！中，火箭队三人组再次捕捉皮卡丘失败，他们被卡奇和爆焰龟兽的超强极限爆焰弹击飞，而武藏和谜拟Ｑ一同掉落到购物广场。武藏发现谜拟Ｑ的画皮破了，她强压惊惧想将谜拟Ｑ收回球中，但对方却不愿意。为了让谜拟Ｑ进入精灵球，武藏决定和谜拟Ｑ一起享用马拉萨达，然而她刚把买好的马拉萨达从纸袋中拿出，空中就杀出三只黑暗鸦将马拉萨达抢走了。武藏在吓跑了黑暗鸦后注意到了自己手中的空纸袋，于是她心生一计，暂时把这个空纸袋当作谜拟Ｑ的画皮使用。武藏带着谜拟Ｑ来到时装店，她不断给谜拟Ｑ变换造型，却让谜拟Ｑ越发生气。武藏不理解谜拟Ｑ生气的原因，但她在意识到谜拟Ｑ很重视皮卡丘样子的画皮后，便帮助谜拟Ｑ修补好了画皮,友好,爆焰龟兽,32,卡奇,29
接着，在VS镰刀盔中小刚与阿蜜正式对决。小刚直接派出了镰刀盔，阿蜜把所有宝可梦放出后从中挑选状态最好的。对战开始，阿蜜先是派出了电龙光儿对抗小刚的镰刀盔，一开始相持不下的状况被镰刀盔的原始之力打破局面，电龙受了重伤但还是勉强撑了下来。这时阿蜜问小刚是不是在猜自己是什么属性的专家，然后主动告诉小刚自己曾和小刚一样是岩石属性的专家，派出了披上了一层岩石皮装作大岩蛇的大钢蛇。小刚表示阿蜜终于打开了自己的第六个精灵球，并且对阿蜜的大钢蛇赶到惊讶认为这是异种的大岩蛇。在对战中，大钢蛇身上的岩石皮受到大岩蛇的绑紧攻击而裂了开来，观众皆为震惊。顺势，阿蜜用大钢蛇击败了吃惊的小刚，之后大木博士出面提出这是一种,挑战,阿蜜,13,小刚,10
小茜是个长相甜美却十分迷糊的女孩，她经常在家乡迷路。她对可爱的宝可梦有着十足的好感。她在对战中的策略通常依赖大奶罐几乎势不可挡的滚动和皮皮变幻莫测的挥指，但有时会适得其反。,拥有,小茜,0,大奶罐,54
在呱呱泡蛙VS小箭雀！空中机动对战!!中，小次郎收服了好啦鱿。,拥有,小次郎,21,好啦鱿,27
《钻石／珍珠／白金》中的这位妈妈是光辉或是小光的母亲，名字叫彩子（日文︰アヤコ，英文︰Johanna）。,亲戚,光辉,17,彩子,30
自此阿响开始了他在城都地区的旅程，对抗道馆馆主收集徽章。在烧焦塔，他有幸目睹了凤王卫队的复活。后来他又前去湛蓝市秘传药店取来秘传之药，治好光辉灯塔的电龙光儿。在愤怒之湖，他遇见了奇怪的红色暴鲤龙，之后便与神秘训练家阿渡一起调查卡吉镇的火箭队基地。后来他又击溃了占领满金电台的火箭队残党，粉碎了他们企图复活的阴谋。集齐8枚徽章后，阿响来到了石英高原挑战宝可梦联盟。,挑战,阿响,164,宝可梦联盟,175
赤红跟青绿在帕希欧竞技场观众席观看小结、艾莉丝和阿驯的队伍对战风露、大叶和阿塞萝拉的队伍。,挑战,艾莉丝,20,大叶,34
赤红就此展开旅程，不断挑战道馆馆主获得徽章。在旅程中，赤红还会遇到以盗取他人宝可梦为目的的邪恶组织火箭队。在月见山，赤红会遇到以偷取化石为目的火箭队手下。打败他们后来到华蓝市，可以从警察那里得知出现了小偷把居民的家打了一个大洞，赤红调查后发现这也是火箭队做下的勾当。途径海角小屋的赤红会遇到不小心把自己变成宝可梦的正辉，在帮他恢复原样后，正辉会赠送赤红船票表示感谢。接到船票的赤红可以从枯叶港登上圣特安努号。,敌对,赤红,27,火箭队,49
赤红跟青绿在帕希欧竞技场观众席观看小结、艾莉丝和阿驯的队伍对战风露、大叶和阿塞萝拉的队伍。,伙伴,赤红,0,青绿,3
在VS镰刀盔中，小茜观看了小刚和阿蜜的对战赛。接着，在VS猫头夜鹰中，小茜和小霞的对战就开始了，大奶罐的滚被小霞的宝石海星轻松躲开了，接着小霞的宝石海星又用高速旋转命中大奶罐，最后用一发破坏光线直接带走了小茜大奶罐，赢得了比赛的胜利。,拥有,小霞,54,宝石海星,57
君莎小姐首次出现在宝可梦中心大对决！，她在追捕火箭队时，遇到了小智。她怀疑小智是窃贼，但看到了他的图鉴时，于是她相信小智并带领他到宝可梦中心。正准备离开时，她看到了小智一行人和火箭队的战斗，之后她帮助乔伊并等到了次日早上。,敌对,火箭队,88,小智,82
在消失的宝可梦之谜，君莎告诉小智一行人金柑岛内的宝可梦行为变得异常，会攻击自己的主人。但自己的鬼斯没有任何变化，她怀疑是超能力属性宝可梦在作乱。在四人一起发现了在道路上的火箭队后，火箭队原不肯和君莎合作，但为了让自己的宝可梦恢复原状，他们告诉君莎这是亚马多和小三郎的阴谋。火箭队把君莎和小智等人混入装有精灵球的推车内进入电波发射塔来破坏他们的恶行，君莎派出了鬼斯抵挡对方的攻击，在催眠装置破坏之后，鬼斯又与催眠貘进行了战斗，但由于在对战中催眠貘和波克比一起使用了挥指引发了自爆，最终亚马多和小三郎被君莎抓捕归案。,敌对,亚马多,125,君莎,121
小刚是小智挑战的第一位道馆馆主，他十分的强大但不懂得变通，训练学生的方式也十分严厉导致很多学生都离开了深灰道馆，只剩下露营少年一人了。在深灰市中，小刚接受了小智的挑战，小智派出火属性的小火龙与小刚的大岩蛇对战，这让小刚感到吃惊，小刚表示他就算面对小孩子也不会防水的。最后，小智的小火龙发现了小刚大岩蛇的弱点，打败了小刚，小刚给予了小智灰色徽章。,拥有,小智,136,小火龙,139
获得16枚徽章后，星期六、日15:00-17:00，莉佳会在玉虹市的喷泉处与阿蜜谈话，阿蜜对于自己过于普通不出色这件事感到有些苦恼，结果被莉佳诱导她批评小椿的服装。同时她也会告诉主角她的宝可齿轮号码。如果在星期日早晨打电话给她的话，她会前往格斗道场等待再战。得到号码后，星期一可以在玉虹市和她合影。,位于,莉佳,69,玉虹市,141
《红／绿／蓝／皮卡丘》、《火红／叶绿》的台词显示青绿在宝可梦塔中捉到一只卡拉卡拉。,拥有,青绿,24,卡拉卡拉,36
在VS猫头夜鹰中，阿速先是在观众席上去观看了小茜和小霞的比赛，紧接着就轮到他上场了，阿速派出了猫头夜鹰迎战阿杏的臭臭泥。对战中，阿杏的臭臭泥缩小这一点让阿速很是惊讶，接着阿速由臭臭泥使出的臭泥炸弹判断出阿杏的专长是毒属性。阿速深知如果再被臭臭泥击中，就会输掉比赛，但是他又找不到缩小的臭臭泥的位置，于是阿速决定让猫头夜鹰使用识破找到了臭臭泥，见情形不妙的阿杏收回了臭臭泥，换上了阿利多斯，阿速命令猫头夜鹰抓起了阿利多斯展开空中决斗，但阿利多斯脱离了猫头夜鹰回到地面，还在猫头夜鹰面前织网，趁着阿速分析阿利多斯行为并且阿杏在解释阿利多斯的蛛丝时，阿利多斯再次发动攻击用锐利的攻击丝击败了猫头夜鹰。阿速派,挑战,小茜,22,小霞,25
在挑战者中，希巴与挑战者对战，结果希巴派出的怪力被挑战者的大比鸟打败。,拥有,希巴,17,怪力,22
在《钻石／珍珠／白金》中，首次会在宝可梦中心之外会出现宝可梦中心的姐姐，家缘市的宝可梦中心的姐姐美狄（暂译，日文︰メディ，英文︰Casey）会参加超级华丽大赛，使用的宝可梦为吉利蛋气球（暂译，日文︰ばるん，英文︰Pinky）。,来自,美狄,48,家缘市,36
娜姿和马志士、阿桔一同出现在苏芳岛，并与夏伯、小茂、小蓝、小黄和正辉合作打倒四天王。由于对方有四个人，而且他们都不确定对方会否中途离开，所以娜姿就用胡地的超能力“命运的汤匙”把8人分成4组，每组负责打倒一个四天王。娜姿和小蓝被选为同组，对上了科拿，左手被科拿的冰手铐冻伤。,拥有,娜姿,70,胡地,74
